t,x,y
0,0,0
0.1,1.41421,1.36518
0.2,2.82843,2.63229
0.3,4.24264,3.80134
0.4,5.65685,4.87232
0.5,7.07107,5.84524
0.6,8.48528,6.72008
0.7,9.89949,7.49687
0.8,11.3137,8.17558
0.9,12.7279,8.75623
1,14.1421,9.23881
1.1,15.5563,9.62333
1.2,16.9706,9.90977
1.3,18.3848,10.0982
1.4,19.799,10.1885
1.5,21.2132,10.1807
1.6,22.6274,10.0749
1.7,24.0416,9.87102
1.8,25.4558,9.56907
1.9,26.8701,9.16905
2,28.2843,8.67097
2.1,29.6985,8.07482
2.2,31.1127,7.38061
2.3,32.5269,6.58832
2.4,33.9411,5.69797
2.5,35.3553,4.70956
2.6,36.7696,3.62308
2.7,38.1838,2.43853
2.8,39.598,1.15591
