t,x,y
0,0,0
0.01,0.176408,0.175428
0.02,0.35245,0.34951
0.03,0.528129,0.522253
0.04,0.703447,0.693661
0.05,0.878407,0.863737
0.06,1.05301,1.03249
0.07,1.22726,1.19991
0.08,1.40116,1.36602
0.09,1.57471,1.53082
0.1,1.74791,1.6943
0.11,1.92077,1.85648
0.12,2.09329,2.01736
0.13,2.26547,2.17695
0.14,2.43731,2.33524
0.15,2.60882,2.49224
0.16,2.77999,2.64795
0.17,2.95084,2.80238
0.18,3.12135,2.95554
0.19,3.29154,3.10742
0.2,3.46141,3.25804
0.21,3.63095,3.40739
0.22,3.80018,3.55547
0.23,3.96909,3.7023
0.24,4.13768,3.84787
0.25,4.30596,3.99219
0.26,4.47393,4.13527
0.27,4.64159,4.2771
0.28,4.80894,4.41769
0.29,4.97599,4.55704
0.3,5.14273,4.69516
0.31,5.30918,4.83205
0.32,5.47532,4.96772
0.33,5.64117,5.10216
0.34,5.80672,5.23538
0.35,5.97198,5.36738
0.36,6.13695,5.49817
0.37,6.30163,5.62775
0.38,6.46602,5.75612
0.39,6.63012,5.88329
0.4,6.79394,6.00926
0.41,6.95748,6.13403
0.42,7.12074,6.2576
0.43,7.28371,6.37998
0.44,7.44642,6.50118
0.45,7.60884,6.62119
0.46,7.771,6.74001
0.47,7.93288,6.85766
0.48,8.09449,6.97413
0.49,8.25583,7.08943
0.5,8.4169,7.20355
0.51,8.57772,7.31651
0.52,8.73826,7.4283
0.53,8.89855,7.53892
0.54,9.05857,7.64839
0.55,9.21834,7.7567
0.56,9.37785,7.86385
0.57,9.5371,7.96985
0.58,9.6961,8.07471
0.59,9.85485,8.17841
0.6,10.0133,8.28097
0.61,10.1716,8.38239
0.62,10.3296,8.48267
0.63,10.4873,8.58181
0.64,10.6448,8.67981
0.65,10.8021,8.77669
0.66,10.9591,8.87243
0.67,11.1159,8.96705
0.68,11.2724,9.06054
0.69,11.4288,9.15291
0.7,11.5848,9.24416
0.71,11.7406,9.33429
0.72,11.8962,9.4233
0.73,12.0516,9.5112
0.74,12.2067,9.59799
0.75,12.3616,9.68367
0.76,12.5163,9.76824
0.77,12.6708,9.85171
0.78,12.825,9.93408
0.79,12.979,10.0153
0.8,13.1328,10.0955
0.81,13.2863,10.1746
0.82,13.4396,10.2525
0.83,13.5927,10.3294
0.84,13.7456,10.4052
0.85,13.8983,10.4799
0.86,14.0508,10.5535
0.87,14.203,10.6261
0.88,14.355,10.6975
0.89,14.5068,10.7679
0.9,14.6584,10.8372
0.91,14.8098,10.9054
0.92,14.961,10.9725
0.93,15.112,11.0386
0.94,15.2628,11.1036
0.95,15.4133,11.1675
0.96,15.5637,11.2304
0.97,15.7138,11.2921
0.98,15.8638,11.3529
0.99,16.0135,11.4125
1,16.1631,11.4711
1.01,16.3124,11.5287
1.02,16.4615,11.5852
1.03,16.6105,11.6406
1.04,16.7592,11.695
1.05,16.9078,11.7483
1.06,17.0561,11.8006
1.07,17.2043,11.8518
1.08,17.3523,11.902
1.09,17.5001,11.9511
1.1,17.6476,11.9992
1.11,17.795,12.0462
1.12,17.9422,12.0922
1.13,18.0892,12.1372
